,Feature_1,Range_1,Feature_2,Range_2,Pct_Train_%,Pct_Test_%,Success_Train_%,Success_Test_%,Success_Diff_%,Method
6,num_feature_2,> 102.50,binary_feature_2,<= 0.50,3.4596,3.2895,0.1905,0.4,0.2095,tree
9,num_feature_1,"[7.20, 9.00]",-,-,2.3649,2.6846,0.0714,0.25,0.1786,IV
15,num_feature_2,"[400.20, 499.00]",-,-,1.4827,1.9737,0.2222,0.3333,0.1111,IV
8,num_feature_1,"[1.80, 3.60]",-,-,2.3649,2.0134,0.0714,0.0,-0.0714,IV
14,num_feature_2,"[202.60, 301.40]",-,-,2.4712,1.9737,0.2667,0.3333,0.0667,IV
3,num_feature_1,> 6.50,cat_feature_1,<= 0.50,2.1959,3.3557,0.1538,0.2,0.0462,tree
10,num_feature_3,"[8.20, 11.80]",-,-,3.7162,2.6846,0.0455,0.0,-0.0455,IV
16,binary_feature_1,"[-0.00, 0.20]",-,-,37.7265,36.8421,0.6812,0.7143,0.0331,IV
11,num_feature_3,"[15.40, 19.00]",-,-,5.2365,4.0268,0.0323,0.0,-0.0323,IV
4,num_feature_2,<= 102.50,binary_feature_1,<= 0.50,35.0906,33.5526,0.7183,0.7451,0.0268,tree
